行番号,部署,金額,割合,日付
154,広報,190036,78.4%,2026-11-15
155,営業一課,191270,85.5%,2026-12-16
156,営業二課,192504,92.6%,2026-01-17
157,開発部,193738,99.7%,2026-02-18
158,管理部,194972,6.8%,2026-03-19
159,広報,196206,13.9%,2026-04-20
160,営業一課,197440,20.0%,2026-05-21
161,営業二課,198674,27.1%,2026-06-22
162,開発部,199908,34.2%,2026-07-23
163,管理部,201142,41.3%,2026-08-24
164,広報,202376,48.4%,2026-09-25
165,営業一課,203610,55.5%,2026-10-26
166,営業二課,204844,62.6%,2026-11-27
167,開発部,206078,69.7%,2026-12-28
168,管理部,207312,76.8%,2026-01-01
169,広報,208546,83.9%,2026-02-02
170,営業一課,209780,90.0%,2026-03-03
171,営業二課,211014,97.1%,2026-04-04
172,開発部,212248,4.2%,2026-05-05
173,管理部,213482,11.3%,2026-06-06
174,広報,214716,18.4%,2026-07-07
175,営業一課,215950,25.5%,2026-08-08
176,営業二課,217184,32.6%,2026-09-09
177,開発部,218418,39.7%,2026-10-10
178,管理部,219652,46.8%,2026-11-11
179,広報,220886,53.9%,2026-12-12
180,営業一課,222120,60.0%,2026-01-13
181,営業二課,223354,67.1%,2026-02-14
182,開発部,224588,74.2%,2026-03-15
183,管理部,225822,81.3%,2026-04-16
184,広報,227056,88.4%,2026-05-17
185,営業一課,228290,95.5%,2026-06-18
186,営業二課,229524,2.6%,2026-07-19
187,開発部,230758,9.7%,2026-08-20
188,管理部,231992,16.8%,2026-09-21
189,広報,233226,23.9%,2026-10-22
190,営業一課,234460,30.0%,2026-11-23
191,営業二課,235694,37.1%,2026-12-24
192,開発部,236928,44.2%,2026-01-25
193,管理部,238162,51.3%,2026-02-26
194,広報,239396,58.4%,2026-03-27
195,営業一課,240630,65.5%,2026-04-28
196,営業二課,241864,72.6%,2026-05-01
197,開発部,243098,79.7%,2026-06-02
198,管理部,244332,86.8%,2026-07-03
199,広報,245566,93.9%,2026-08-04
200,営業一課,246800,0.0%,2026-09-05
201,営業二課,248034,7.1%,2026-10-06
202,開発部,249268,14.2%,2026-11-07
203,管理部,250502,21.3%,2026-12-08
204,広報,251736,28.4%,2026-01-09
205,営業一課,252970,35.5%,2026-02-10
206,営業二課,254204,42.6%,2026-03-11
207,開発部,255438,49.7%,2026-04-12
208,管理部,256672,56.8%,2026-05-13
209,広報,257906,63.9%,2026-06-14
210,営業一課,259140,70.0%,2026-07-15
211,営業二課,260374,77.1%,2026-08-16
212,開発部,261608,84.2%,2026-09-17
213,管理部,262842,91.3%,2026-10-18
214,広報,264076,98.4%,2026-11-19
215,営業一課,265310,5.5%,2026-12-20
216,営業二課,266544,12.6%,2026-01-21
217,開発部,267778,19.7%,2026-02-22
218,管理部,269012,26.8%,2026-03-23
219,広報,270246,33.9%,2026-04-24
220,営業一課,271480,40.0%,2026-05-25
221,営業二課,272714,47.1%,2026-06-26
222,開発部,273948,54.2%,2026-07-27
223,管理部,275182,61.3%,2026-08-28
224,広報,276416,68.4%,2026-09-01
225,営業一課,277650,75.5%,2026-10-02
226,営業二課,278884,82.6%,2026-11-03
227,開発部,280118,89.7%,2026-12-04
228,管理部,281352,96.8%,2026-01-05
229,広報,282586,3.9%,2026-02-06
230,営業一課,283820,10.0%,2026-03-07
231,営業二課,285054,17.1%,2026-04-08
232,開発部,286288,24.2%,2026-05-09
233,管理部,287522,31.3%,2026-06-10
234,広報,288756,38.4%,2026-07-11
235,営業一課,289990,45.5%,2026-08-12
236,営業二課,291224,52.6%,2026-09-13
237,開発部,292458,59.7%,2026-10-14
238,管理部,293692,66.8%,2026-11-15
239,広報,294926,73.9%,2026-12-16
240,営業一課,296160,80.0%,2026-01-17
241,営業二課,297394,87.1%,2026-02-18
242,開発部,298628,94.2%,2026-03-19
243,管理部,299862,1.3%,2026-04-20
244,広報,301096,8.4%,2026-05-21
245,営業一課,302330,15.5%,2026-06-22
246,営業二課,303564,22.6%,2026-07-23
247,開発部,304798,29.7%,2026-08-24
248,管理部,306032,36.8%,2026-09-25
249,広報,307266,43.9%,2026-10-26
250,営業一課,308500,50.0%,2026-11-27
251,営業二課,309734,57.1%,2026-12-28
252,開発部,310968,64.2%,2026-01-01
253,管理部,312202,71.3%,2026-02-02
254,広報,313436,78.4%,2026-03-03
255,営業一課,314670,85.5%,2026-04-04
256,営業二課,315904,92.6%,2026-05-05
257,開発部,317138,99.7%,2026-06-06
258,管理部,318372,6.8%,2026-07-07
259,広報,319606,13.9%,2026-08-08
260,営業一課,320840,20.0%,2026-09-09
261,営業二課,322074,27.1%,2026-10-10
262,開発部,323308,34.2%,2026-11-11
263,管理部,324542,41.3%,2026-12-12
264,広報,325776,48.4%,2026-01-13
265,営業一課,327010,55.5%,2026-02-14
266,営業二課,328244,62.6%,2026-03-15
267,開発部,329478,69.7%,2026-04-16
268,管理部,330712,76.8%,2026-05-17
269,広報,331946,83.9%,2026-06-18
270,営業一課,333180,90.0%,2026-07-19
271,営業二課,334414,97.1%,2026-08-20
272,開発部,335648,4.2%,2026-09-21
273,管理部,336882,11.3%,2026-10-22
274,広報,338116,18.4%,2026-11-23
275,営業一課,339350,25.5%,2026-12-24
276,営業二課,340584,32.6%,2026-01-25
277,開発部,341818,39.7%,2026-02-26
278,管理部,343052,46.8%,2026-03-27
279,広報,344286,53.9%,2026-04-28
280,営業一課,345520,60.0%,2026-05-01
281,営業二課,346754,67.1%,2026-06-02
282,開発部,347988,74.2%,2026-07-03
283,管理部,349222,81.3%,2026-08-04
284,広報,350456,88.4%,2026-09-05
285,営業一課,351690,95.5%,2026-10-06
286,営業二課,352924,2.6%,2026-11-07
287,開発部,354158,9.7%,2026-12-08
288,管理部,355392,16.8%,2026-01-09
289,広報,356626,23.9%,2026-02-10
290,営業一課,357860,30.0%,2026-03-11
291,営業二課,359094,37.1%,2026-04-12
292,開発部,360328,44.2%,2026-05-13
293,管理部,361562,51.3%,2026-06-14
294,広報,362796,58.4%,2026-07-15
295,営業一課,364030,65.5%,2026-08-16
296,営業二課,365264,72.6%,2026-09-17
297,開発部,366498,79.7%,2026-10-18
298,管理部,367732,86.8%,2026-11-19
299,広報,368966,93.9%,2026-12-20
300,営業一課,370200,0.0%,2026-01-21
301,営業二課,371434,7.1%,2026-02-22
302,開発部,372668,14.2%,2026-03-23
303,管理部,373902,21.3%,2026-04-24
304,広報,375136,28.4%,2026-05-25
305,営業一課,376370,35.5%,2026-06-26
306,営業二課,377604,42.6%,2026-07-27
307,開発部,378838,49.7%,2026-08-28
308,管理部,380072,56.8%,2026-09-01
309,広報,381306,63.9%,2026-10-02
310,営業一課,382540,70.0%,2026-11-03
311,営業二課,383774,77.1%,2026-12-04
312,開発部,385008,84.2%,2026-01-05
313,管理部,386242,91.3%,2026-02-06
314,広報,387476,98.4%,2026-03-07
315,営業一課,388710,5.5%,2026-04-08
316,営業二課,389944,12.6%,2026-05-09
317,開発部,391178,19.7%,2026-06-10
318,管理部,392412,26.8%,2026-07-11
319,広報,393646,33.9%,2026-08-12
320,営業一課,394880,40.0%,2026-09-13
321,営業二課,396114,47.1%,2026-10-14
322,開発部,397348,54.2%,2026-11-15
323,管理部,398582,61.3%,2026-12-16
324,広報,399816,68.4%,2026-01-17
325,営業一課,401050,75.5%,2026-02-18
326,営業二課,402284,82.6%,2026-03-19
327,開発部,403518,89.7%,2026-04-20
328,管理部,404752,96.8%,2026-05-21
329,広報,405986,3.9%,2026-06-22
330,営業一課,407220,10.0%,2026-07-23
331,営業二課,408454,17.1%,2026-08-24
332,開発部,409688,24.2%,2026-09-25
333,管理部,410922,31.3%,2026-10-26
334,広報,412156,38.4%,2026-11-27
335,営業一課,413390,45.5%,2026-12-28
336,営業二課,414624,52.6%,2026-01-01
337,開発部,415858,59.7%,2026-02-02
338,管理部,417092,66.8%,2026-03-03
339,広報,418326,73.9%,2026-04-04
340,営業一課,419560,80.0%,2026-05-05
341,営業二課,420794,87.1%,2026-06-06
342,開発部,422028,94.2%,2026-07-07
343,管理部,423262,1.3%,2026-08-08
344,広報,424496,8.4%,2026-09-09
345,営業一課,425730,15.5%,2026-10-10
346,営業二課,426964,22.6%,2026-11-11
347,開発部,428198,29.7%,2026-12-12
348,管理部,429432,36.8%,2026-01-13
349,広報,430666,43.9%,2026-02-14
350,営業一課,431900,50.0%,2026-03-15
351,営業二課,433134,57.1%,2026-04-16
352,開発部,434368,64.2%,2026-05-17
353,管理部,435602,71.3%,2026-06-18
354,広報,436836,78.4%,2026-07-19
355,営業一課,438070,85.5%,2026-08-20
356,営業二課,439304,92.6%,2026-09-21
357,開発部,440538,99.7%,2026-10-22
358,管理部,441772,6.8%,2026-11-23
359,広報,443006,13.9%,2026-12-24
360,営業一課,444240,20.0%,2026-01-25
361,営業二課,445474,27.1%,2026-02-26
362,開発部,446708,34.2%,2026-03-27
363,管理部,447942,41.3%,2026-04-28
364,広報,449176,48.4%,2026-05-01
365,営業一課,450410,55.5%,2026-06-02
366,営業二課,451644,62.6%,2026-07-03
367,開発部,452878,69.7%,2026-08-04
368,管理部,454112,76.8%,2026-09-05
369,広報,455346,83.9%,2026-10-06
370,営業一課,456580,90.0%,2026-11-07
371,営業二課,457814,97.1%,2026-12-08
372,開発部,459048,4.2%,2026-01-09
373,管理部,460282,11.3%,2026-02-10
374,広報,461516,18.4%,2026-03-11
375,営業一課,462750,25.5%,2026-04-12
376,営業二課,463984,32.6%,2026-05-13
377,開発部,465218,39.7%,2026-06-14
378,管理部,466452,46.8%,2026-07-15
379,広報,467686,53.9%,2026-08-16
380,営業一課,468920,60.0%,2026-09-17
381,営業二課,470154,67.1%,2026-10-18
382,開発部,471388,74.2%,2026-11-19
383,管理部,472622,81.3%,2026-12-20
384,広報,473856,88.4%,2026-01-21
385,営業一課,475090,95.5%,2026-02-22
386,営業二課,476324,2.6%,2026-03-23
387,開発部,477558,9.7%,2026-04-24
388,管理部,478792,16.8%,2026-05-25
389,広報,480026,23.9%,2026-06-26
390,営業一課,481260,30.0%,2026-07-27
391,営業二課,482494,37.1%,2026-08-28
392,開発部,483728,44.2%,2026-09-01
393,管理部,484962,51.3%,2026-10-02
394,広報,486196,58.4%,2026-11-03
395,営業一課,487430,65.5%,2026-12-04
396,営業二課,488664,72.6%,2026-01-05
397,開発部,489898,79.7%,2026-02-06
398,管理部,491132,86.8%,2026-03-07
399,広報,492366,93.9%,2026-04-08
400,営業一課,493600,0.0%,2026-05-09
401,営業二課,494834,7.1%,2026-06-10
402,開発部,496068,14.2%,2026-07-11
403,管理部,497302,21.3%,2026-08-12
404,広報,498536,28.4%,2026-09-13
405,営業一課,499770,35.5%,2026-10-14
406,営業二課,501004,42.6%,2026-11-15
407,開発部,502238,49.7%,2026-12-16
408,管理部,503472,56.8%,2026-01-17
409,広報,504706,63.9%,2026-02-18
410,営業一課,505940,70.0%,2026-03-19
411,営業二課,507174,77.1%,2026-04-20
412,開発部,508408,84.2%,2026-05-21
413,管理部,509642,91.3%,2026-06-22
414,広報,510876,98.4%,2026-07-23
415,営業一課,512110,5.5%,2026-08-24
416,営業二課,513344,12.6%,2026-09-25
417,開発部,514578,19.7%,2026-10-26
418,管理部,515812,26.8%,2026-11-27
419,広報,517046,33.9%,2026-12-28
420,営業一課,518280,40.0%,2026-01-01
421,営業二課,519514,47.1%,2026-02-02
422,開発部,520748,54.2%,2026-03-03
423,管理部,521982,61.3%,2026-04-04
424,広報,523216,68.4%,2026-05-05
425,営業一課,524450,75.5%,2026-06-06
426,営業二課,525684,82.6%,2026-07-07
427,開発部,526918,89.7%,2026-08-08
428,管理部,528152,96.8%,2026-09-09
429,広報,529386,3.9%,2026-10-10
430,営業一課,530620,10.0%,2026-11-11
431,営業二課,531854,17.1%,2026-12-12
432,開発部,533088,24.2%,2026-01-13
433,管理部,534322,31.3%,2026-02-14
434,広報,535556,38.4%,2026-03-15
435,営業一課,536790,45.5%,2026-04-16
436,営業二課,538024,52.6%,2026-05-17
437,開発部,539258,59.7%,2026-06-18
438,管理部,540492,66.8%,2026-07-19
439,広報,541726,73.9%,2026-08-20
440,営業一課,542960,80.0%,2026-09-21
441,営業二課,544194,87.1%,2026-10-22
442,開発部,545428,94.2%,2026-11-23
443,管理部,546662,1.3%,2026-12-24
444,広報,547896,8.4%,2026-01-25
445,営業一課,549130,15.5%,2026-02-26
446,営業二課,550364,22.6%,2026-03-27
447,開発部,551598,29.7%,2026-04-28
448,管理部,552832,36.8%,2026-05-01
449,広報,554066,43.9%,2026-06-02
450,営業一課,555300,50.0%,2026-07-03
451,営業二課,556534,57.1%,2026-08-04
452,開発部,557768,64.2%,2026-09-05
453,管理部,559002,71.3%,2026-10-06
454,広報,560236,78.4%,2026-11-07
455,営業一課,561470,85.5%,2026-12-08
456,営業二課,562704,92.6%,2026-01-09
457,開発部,563938,99.7%,2026-02-10
458,管理部,565172,6.8%,2026-03-11
459,広報,566406,13.9%,2026-04-12
460,営業一課,567640,20.0%,2026-05-13
461,営業二課,568874,27.1%,2026-06-14
462,開発部,570108,34.2%,2026-07-15
463,管理部,571342,41.3%,2026-08-16
464,広報,572576,48.4%,2026-09-17
465,営業一課,573810,55.5%,2026-10-18
466,営業二課,575044,62.6%,2026-11-19
467,開発部,576278,69.7%,2026-12-20
468,管理部,577512,76.8%,2026-01-21
469,広報,578746,83.9%,2026-02-22
470,営業一課,579980,90.0%,2026-03-23
471,営業二課,581214,97.1%,2026-04-24
472,開発部,582448,4.2%,2026-05-25
473,管理部,583682,11.3%,2026-06-26
474,広報,584916,18.4%,2026-07-27
475,営業一課,586150,25.5%,2026-08-28
476,営業二課,587384,32.6%,2026-09-01
477,開発部,588618,39.7%,2026-10-02
478,管理部,589852,46.8%,2026-11-03
479,広報,591086,53.9%,2026-12-04
480,営業一課,592320,60.0%,2026-01-05
481,営業二課,593554,67.1%,2026-02-06
482,開発部,594788,74.2%,2026-03-07
483,管理部,596022,81.3%,2026-04-08
484,広報,597256,88.4%,2026-05-09
485,営業一課,598490,95.5%,2026-06-10
486,営業二課,599724,2.6%,2026-07-11
487,開発部,600958,9.7%,2026-08-12
488,管理部,602192,16.8%,2026-09-13
489,広報,603426,23.9%,2026-10-14
490,営業一課,604660,30.0%,2026-11-15
491,営業二課,605894,37.1%,2026-12-16
492,開発部,607128,44.2%,2026-01-17
493,管理部,608362,51.3%,2026-02-18
494,広報,609596,58.4%,2026-03-19
495,営業一課,610830,65.5%,2026-04-20
496,営業二課,612064,72.6%,2026-05-21
497,開発部,613298,79.7%,2026-06-22
498,管理部,614532,86.8%,2026-07-23
499,広報,615766,93.9%,2026-08-24
500,営業一課,617000,0.0%,2026-09-25
501,営業二課,618234,7.1%,2026-10-26
502,開発部,619468,14.2%,2026-11-27
503,管理部,620702,21.3%,2026-12-28
504,広報,621936,28.4%,2026-01-01
505,営業一課,623170,35.5%,2026-02-02
506,営業二課,624404,42.6%,2026-03-03
507,開発部,625638,49.7%,2026-04-04
508,管理部,626872,56.8%,2026-05-05
509,広報,628106,63.9%,2026-06-06
510,営業一課,629340,70.0%,2026-07-07
511,営業二課,630574,77.1%,2026-08-08
512,開発部,631808,84.2%,2026-09-09
513,管理部,633042,91.3%,2026-10-10
514,広報,634276,98.4%,2026-11-11
515,営業一課,635510,5.5%,2026-12-12
516,営業二課,636744,12.6%,2026-01-13
517,開発部,637978,19.7%,2026-02-14
518,管理部,639212,26.8%,2026-03-15
519,広報,640446,33.9%,2026-04-16
520,営業一課,641680,40.0%,2026-05-17
521,営業二課,642914,47.1%,2026-06-18
522,開発部,644148,54.2%,2026-07-19
523,管理部,645382,61.3%,2026-08-20
524,広報,646616,68.4%,2026-09-21
525,営業一課,647850,75.5%,2026-10-22
526,営業二課,649084,82.6%,2026-11-23
527,開発部,650318,89.7%,2026-12-24
528,管理部,651552,96.8%,2026-01-25
529,広報,652786,3.9%,2026-02-26
530,営業一課,654020,10.0%,2026-03-27
531,営業二課,655254,17.1%,2026-04-28
532,開発部,656488,24.2%,2026-05-01
533,管理部,657722,31.3%,2026-06-02
534,広報,658956,38.4%,2026-07-03
535,営業一課,660190,45.5%,2026-08-04
536,営業二課,661424,52.6%,2026-09-05
537,開発部,662658,59.7%,2026-10-06
538,管理部,663892,66.8%,2026-11-07
539,広報,665126,73.9%,2026-12-08
540,営業一課,666360,80.0%,2026-01-09
541,営業二課,667594,87.1%,2026-02-10
542,開発部,668828,94.2%,2026-03-11
543,管理部,670062,1.3%,2026-04-12
544,広報,671296,8.4%,2026-05-13
545,営業一課,672530,15.5%,2026-06-14
546,営業二課,673764,22.6%,2026-07-15
547,開発部,674998,29.7%,2026-08-16
548,管理部,676232,36.8%,2026-09-17
549,広報,677466,43.9%,2026-10-18
550,営業一課,678700,50.0%,2026-11-19
551,営業二課,679934,57.1%,2026-12-20
552,開発部,681168,64.2%,2026-01-21
553,管理部,682402,71.3%,2026-02-22
554,広報,683636,78.4%,2026-03-23
555,営業一課,684870,85.5%,2026-04-24
556,営業二課,686104,92.6%,2026-05-25
557,開発部,687338,99.7%,2026-06-26
558,管理部,688572,6.8%,2026-07-27
559,広報,689806,13.9%,2026-08-28
560,営業一課,691040,20.0%,2026-09-01
561,営業二課,692274,27.1%,2026-10-02
562,開発部,693508,34.2%,2026-11-03
563,管理部,694742,41.3%,2026-12-04
564,広報,695976,48.4%,2026-01-05
565,営業一課,697210,55.5%,2026-02-06
566,営業二課,698444,62.6%,2026-03-07
567,開発部,699678,69.7%,2026-04-08
568,管理部,700912,76.8%,2026-05-09
569,広報,702146,83.9%,2026-06-10
570,営業一課,703380,90.0%,2026-07-11
571,営業二課,704614,97.1%,2026-08-12
572,開発部,705848,4.2%,2026-09-13
573,管理部,707082,11.3%,2026-10-14
574,広報,708316,18.4%,2026-11-15
575,営業一課,709550,25.5%,2026-12-16
576,営業二課,710784,32.6%,2026-01-17
577,開発部,712018,39.7%,2026-02-18
578,管理部,713252,46.8%,2026-03-19
579,広報,714486,53.9%,2026-04-20
580,営業一課,715720,60.0%,2026-05-21
581,営業二課,716954,67.1%,2026-06-22
582,開発部,718188,74.2%,2026-07-23
583,管理部,719422,81.3%,2026-08-24
584,広報,720656,88.4%,2026-09-25
585,営業一課,721890,95.5%,2026-10-26
586,営業二課,723124,2.6%,2026-11-27
587,開発部,724358,9.7%,2026-12-28
588,管理部,725592,16.8%,2026-01-01
589,広報,726826,23.9%,2026-02-02
590,営業一課,728060,30.0%,2026-03-03
591,営業二課,729294,37.1%,2026-04-04
592,開発部,730528,44.2%,2026-05-05
593,管理部,731762,51.3%,2026-06-06
594,広報,732996,58.4%,2026-07-07
595,営業一課,734230,65.5%,2026-08-08
596,営業二課,735464,72.6%,2026-09-09
597,開発部,736698,79.7%,2026-10-10
598,管理部,737932,86.8%,2026-11-11
599,広報,739166,93.9%,2026-12-12
600,営業一課,740400,0.0%,2026-01-13
601,営業二課,741634,7.1%,2026-02-14
602,開発部,742868,14.2%,2026-03-15
603,管理部,744102,21.3%,2026-04-16
604,広報,745336,28.4%,2026-05-17
605,営業一課,746570,35.5%,2026-06-18
606,営業二課,747804,42.6%,2026-07-19
607,開発部,749038,49.7%,2026-08-20
608,管理部,750272,56.8%,2026-09-21
609,広報,751506,63.9%,2026-10-22
610,営業一課,752740,70.0%,2026-11-23
611,営業二課,753974,77.1%,2026-12-24
612,開発部,755208,84.2%,2026-01-25
613,管理部,756442,91.3%,2026-02-26
614,広報,757676,98.4%,2026-03-27
615,営業一課,758910,5.5%,2026-04-28
616,営業二課,760144,12.6%,2026-05-01
617,開発部,761378,19.7%,2026-06-02
618,管理部,762612,26.8%,2026-07-03
619,広報,763846,33.9%,2026-08-04
620,営業一課,765080,40.0%,2026-09-05
621,営業二課,766314,47.1%,2026-10-06
622,開発部,767548,54.2%,2026-11-07
623,管理部,768782,61.3%,2026-12-08
624,広報,770016,68.4%,2026-01-09
625,営業一課,771250,75.5%,2026-02-10
626,営業二課,772484,82.6%,2026-03-11
627,開発部,773718,89.7%,2026-04-12
628,管理部,774952,96.8%,2026-05-13
629,広報,776186,3.9%,2026-06-14
630,営業一課,777420,10.0%,2026-07-15
631,営業二課,778654,17.1%,2026-08-16
632,開発部,779888,24.2%,2026-09-17
633,管理部,781122,31.3%,2026-10-18
634,広報,782356,38.4%,2026-11-19
635,営業一課,783590,45.5%,2026-12-20
636,営業二課,784824,52.6%,2026-01-21
637,開発部,786058,59.7%,2026-02-22
638,管理部,787292,66.8%,2026-03-23
639,広報,788526,73.9%,2026-04-24
640,営業一課,789760,80.0%,2026-05-25
641,営業二課,790994,87.1%,2026-06-26
642,開発部,792228,94.2%,2026-07-27
643,管理部,793462,1.3%,2026-08-28
644,広報,794696,8.4%,2026-09-01
645,営業一課,795930,15.5%,2026-10-02
646,営業二課,797164,22.6%,2026-11-03
647,開発部,798398,29.7%,2026-12-04
648,管理部,799632,36.8%,2026-01-05
649,広報,800866,43.9%,2026-02-06
650,営業一課,802100,50.0%,2026-03-07
651,営業二課,803334,57.1%,2026-04-08
652,開発部,804568,64.2%,2026-05-09
653,管理部,805802,71.3%,2026-06-10
654,広報,807036,78.4%,2026-07-11
655,営業一課,808270,85.5%,2026-08-12
656,営業二課,809504,92.6%,2026-09-13
657,開発部,810738,99.7%,2026-10-14
658,管理部,811972,6.8%,2026-11-15
